epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.197,2.11077,1.61572,1.58811,0.60971,0.25,0.28472,0.10819,3.16292,1.66108,1.71437,6e-05,6e-05,6e-05
2,86.6453,1.95838,1.43819,1.52627,0.57504,0.25,0.28959,0.10976,3.14748,1.68237,1.69953,0.000137228,0.000137228,0.000137228
3,129.019,1.7765,1.17022,1.37134,0.61999,0.325,0.29596,0.1299,2.96794,1.46195,1.61706,0.000211288,0.000211288,0.000211288
4,172.386,1.50312,0.74133,1.29079,0.50952,0.325,0.24635,0.11895,2.90589,1.80665,1.56979,0.00028218,0.00028218,0.00028218
5,215.095,1.4618,0.78583,1.24197,0.52427,0.35,0.28164,0.12661,2.78239,1.73661,1.52827,0.000349904,0.000349904,0.000349904
6,254.842,1.44076,0.75603,1.21519,0.5749,0.35,0.33036,0.16451,2.56799,1.56767,1.38644,0.00041446,0.00041446,0.00041446
7,294.93,1.34289,0.73096,1.20779,0.58094,0.35,0.33873,0.15677,2.54503,1.50669,1.37095,0.000475848,0.000475848,0.000475848
8,334.06,1.2575,0.66167,1.14868,0.63004,0.35,0.34883,0.16588,2.60154,1.55055,1.40657,0.000534068,0.000534068,0.000534068
9,372.146,1.16658,0.64078,1.10465,0.68928,0.35,0.3468,0.15228,2.55307,1.53438,1.4257,0.00058912,0.00058912,0.00058912
10,409.743,1.20875,0.63825,1.08994,0.74117,0.35,0.34645,0.17096,2.42216,1.38879,1.40059,0.000641004,0.000641004,0.000641004
11,447.681,1.18078,0.66534,1.0904,0.69715,0.325,0.33591,0.18237,2.49195,1.38119,1.41802,0.00068972,0.00068972,0.00068972
12,485.709,1.10687,0.64366,1.07202,0.6002,0.35,0.31484,0.1575,2.65003,1.46609,1.4996,0.000735268,0.000735268,0.000735268
13,522.693,1.20537,0.6239,1.10549,0.57931,0.35,0.28625,0.14404,2.55684,1.33744,1.50053,0.000777648,0.000777648,0.000777648
14,560.297,1.17164,0.58717,1.08112,0.51522,0.35,0.26997,0.13701,2.5265,1.23178,1.50233,0.00081686,0.00081686,0.00081686
15,598.226,1.15546,0.6138,1.07358,0.52386,0.375,0.30791,0.14854,2.50925,1.17537,1.49021,0.000852904,0.000852904,0.000852904
16,635.268,1.16314,0.58899,1.06642,0.4961,0.375,0.34013,0.18134,2.43595,1.14132,1.44232,0.00088578,0.00088578,0.00088578
17,672.608,1.07307,0.59414,1.02708,0.57073,0.375,0.35264,0.18859,2.43559,1.14648,1.44453,0.000915488,0.000915488,0.000915488
18,709.88,1.03739,0.59485,1.01803,0.59503,0.4,0.38528,0.20202,2.40612,1.15325,1.42666,0.000942028,0.000942028,0.000942028
19,747.691,1.06622,0.5695,1.0394,0.69883,0.35,0.36052,0.19334,2.39927,1.15325,1.40602,0.0009654,0.0009654,0.0009654
20,785.121,1.11547,0.62368,1.05354,0.70572,0.325,0.3163,0.16669,2.46972,1.17183,1.42926,0.000985604,0.000985604,0.000985604
21,823.124,0.99458,0.53279,0.99276,0.62958,0.325,0.32813,0.16666,2.47668,1.16245,1.42843,0.00100264,0.00100264,0.00100264
22,860.781,1.05004,0.57464,1.027,0.57063,0.35,0.34837,0.18181,2.51399,1.14253,1.45479,0.00101651,0.00101651,0.00101651
23,899.283,0.98911,0.52331,1.00835,0.63033,0.35,0.3625,0.18501,2.5182,1.19504,1.49484,0.00102721,0.00102721,0.00102721
24,937.266,1.0061,0.55419,1.01558,0.60758,0.34843,0.36441,0.19904,2.49008,1.19095,1.49968,0.00103474,0.00103474,0.00103474
25,974.132,0.96401,0.54988,1.00515,0.64624,0.375,0.39758,0.21124,2.45171,1.10877,1.46773,0.0010391,0.0010391,0.0010391
26,1011.22,1.02935,0.54412,1.02879,0.5979,0.35,0.34981,0.1872,2.46864,1.10559,1.43669,0.00101,0.00101,0.00101
27,1048.54,0.99806,0.5744,0.99757,0.58507,0.35,0.34744,0.17668,2.42232,1.13461,1.41371,0.0009704,0.0009704,0.0009704
28,1085.9,0.97453,0.51171,0.99063,0.74451,0.325,0.34224,0.17308,2.42251,1.13691,1.41423,0.0009308,0.0009308,0.0009308
29,1123.9,0.96672,0.52494,0.9657,0.68901,0.325,0.33434,0.16364,2.51838,1.17508,1.44347,0.0008912,0.0008912,0.0008912
30,1162.1,0.95886,0.52204,0.99666,0.55674,0.3,0.25226,0.13293,2.5382,1.13713,1.47784,0.0008516,0.0008516,0.0008516
31,1201.23,1.02386,0.56742,1.02678,0.58587,0.325,0.30628,0.14088,2.54078,1.15948,1.49387,0.000812,0.000812,0.000812
32,1240.98,0.89498,0.49372,0.97496,0.64102,0.325,0.3316,0.16116,2.51448,1.13797,1.42883,0.0007724,0.0007724,0.0007724
