epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,1279.05,0.96646,0.56096,1.00444,0.71389,0.35,0.38677,0.19107,2.41399,1.12796,1.39588,0.0007328,0.0007328,0.0007328
34,1318.05,0.90991,0.50979,0.98291,0.7255,0.35,0.39629,0.18806,2.37906,1.13619,1.41934,0.0006932,0.0006932,0.0006932
35,1357.48,0.85917,0.47674,0.95852,0.754,0.35,0.39789,0.18623,2.34156,1.08591,1.41317,0.0006536,0.0006536,0.0006536
36,1398.19,0.93341,0.51503,1.01069,0.74573,0.36689,0.3994,0.18442,2.28919,1.0584,1.38299,0.000614,0.000614,0.000614
37,1437.29,0.91467,0.48765,0.97098,0.80839,0.325,0.37196,0.19678,2.25838,1.03464,1.33302,0.0005744,0.0005744,0.0005744
38,1477.54,0.89336,0.49506,0.96259,0.72136,0.4,0.41022,0.20928,2.3114,1.06465,1.36872,0.0005348,0.0005348,0.0005348
39,1518.43,0.87925,0.48294,0.94795,0.87292,0.34377,0.39021,0.21214,2.34253,1.07114,1.41402,0.0004952,0.0004952,0.0004952
40,1560.55,0.84544,0.4645,0.96279,0.75912,0.39416,0.43202,0.20906,2.35991,1.0719,1.42248,0.0004556,0.0004556,0.0004556
41,1635.83,0.82746,0.42851,0.93782,0.75404,0.35,0.41412,0.21414,2.32387,1.07614,1.40312,0.000416,0.000416,0.000416
42,1677.24,0.82526,0.41747,0.94069,0.76661,0.35,0.39611,0.2039,2.298,1.0911,1.39024,0.0003764,0.0003764,0.0003764
43,1718.01,0.83792,0.40317,0.96493,0.73639,0.35,0.39287,0.19559,2.30856,1.13106,1.39137,0.0003368,0.0003368,0.0003368
44,1758.71,0.80359,0.41319,0.91567,0.75768,0.35,0.3842,0.19204,2.2994,1.12761,1.37779,0.0002972,0.0002972,0.0002972
45,1797.92,0.80137,0.4104,0.91656,0.72717,0.35,0.38209,0.19399,2.27374,1.12571,1.36447,0.0002576,0.0002576,0.0002576
46,1836.39,0.8046,0.42162,0.93114,0.70325,0.35,0.38426,0.19471,2.2728,1.14118,1.36071,0.000218,0.000218,0.000218
47,1875.04,0.74723,0.40509,0.90655,0.70198,0.35,0.38272,0.2013,2.27271,1.162,1.36485,0.0001784,0.0001784,0.0001784
48,1913.82,0.75721,0.39899,0.91648,0.70941,0.36646,0.38297,0.19972,2.26128,1.13945,1.36055,0.0001388,0.0001388,0.0001388
49,1952.19,0.77552,0.4123,0.91514,0.70485,0.35849,0.38488,0.20511,2.26035,1.13456,1.36473,9.92e-05,9.92e-05,9.92e-05
50,1991.16,0.75446,0.40444,0.91238,0.71293,0.37262,0.38086,0.19846,2.28044,1.14086,1.37713,5.96e-05,5.96e-05,5.96e-05
